employee_id,first_name,last_name,email,teams_email,role,department,employee_type,hire_date,shift_preference,employment_status,manager_email,phone,location,badge_number,union_member,production_line_id
EMP-014,Sophie,Martin,sophie.martin@caedemo.com,sophie.martin@caedemo.com,Senior Technician,CNC Machining,FullTime,2016-05-20,Day,Active,sylvie.raymond@caedemo.com,514-555-0114,Montreal Plant,BDG-1014,Yes,PL-01
EMP-015,Hassan,Al-Farsi,hassan.alfarsi@caedemo.com,hassan.alfarsi@caedemo.com,Technician,Welding,FullTime,2021-09-01,Day,Active,robert.lapointe@caedemo.com,514-555-0115,Montreal Plant,BDG-1015,Yes,PL-02
EMP-016,Patrick,O'Brien,pat.obrien@caedemo.com,pat.obrien@caedemo.com,Technician,Welding,FullTime,2023-01-10,Night,Active,robert.lapointe@caedemo.com,514-555-0116,Montreal Plant,BDG-1016,Yes,PL-02
EMP-017,Yuki,Tanaka,yuki.tanaka@caedemo.com,yuki.tanaka@caedemo.com,Technician,Electronics,FullTime,2020-10-01,Day,Active,claire.pelletier@caedemo.com,514-555-0117,Montreal Plant,BDG-1017,No,PL-03
EMP-018,Samuel,Martin,sam.martin@caedemo.com,sam.martin@caedemo.com,Senior Technician,Electronics,FullTime,2016-03-15,Day,Active,claire.pelletier@caedemo.com,514-555-0118,Montreal Plant,BDG-1018,Yes,PL-03
EMP-019,Priya,Sharma,priya.sharma@caedemo.com,priya.sharma@caedemo.com,Technician,Avionics,FullTime,2022-07-01,Day,Active,claire.pelletier@caedemo.com,514-555-0119,Montreal Plant,BDG-1019,No,PL-03
EMP-020,Thomas,Wilson,thomas.wilson@caedemo.com,thomas.wilson@caedemo.com,Technician,Sheet Metal,FullTime,2022-08-15,Day,Active,sylvie.raymond@caedemo.com,514-555-0120,Montreal Plant,BDG-1020,Yes,PL-01
EMP-021,Mei,Wong,mei.wong@caedemo.com,mei.wong@caedemo.com,Technician,Sheet Metal,FullTime,2023-03-01,Night,Active,sylvie.raymond@caedemo.com,514-555-0121,Montreal Plant,BDG-1021,Yes,PL-01
EMP-022,Kevin,Murphy,kevin.murphy@caedemo.com,kevin.murphy@caedemo.com,Technician,Painting,FullTime,2021-11-01,Day,Active,robert.lapointe@caedemo.com,514-555-0122,Montreal Plant,BDG-1022,Yes,PL-02
EMP-023,Aisha,Mohammed,aisha.mohammed@caedemo.com,aisha.mohammed@caedemo.com,Technician,Quality,FullTime,2021-02-01,Day,Active,robert.lapointe@caedemo.com,514-555-0123,Montreal Plant,BDG-1023,No,PL-02
EMP-024,Roberto,Silva,roberto.silva@caedemo.com,roberto.silva@caedemo.com,Senior Technician,Welding,FullTime,2015-05-15,Day,Active,robert.lapointe@caedemo.com,514-555-0124,Montreal Plant,BDG-1024,Yes,PL-02
EMP-025,Luc,Bouchard,luc.bouchard@caedemo.com,luc.bouchard@caedemo.com,Technician,CNC Machining,FullTime,2023-09-01,Day,Active,sylvie.raymond@caedemo.com,514-555-0125,Montreal Plant,BDG-1025,Yes,PL-01
EMP-027,André,Lefebvre,andre.lefebvre@caedemo.com,andre.lefebvre@caedemo.com,Technician,Additive Manufacturing,FullTime,2023-06-20,Day,Active,sylvie.raymond@caedemo.com,514-555-0127,Montreal Plant,BDG-1027,Yes,PL-01
EMP-028,Isabelle,Roy,isabelle.roy@caedemo.com,isabelle.roy@caedemo.com,Technician,Electronics,FullTime,2022-03-01,Day,Active,claire.pelletier@caedemo.com,514-555-0128,Montreal Plant,BDG-1028,Yes,PL-03
EMP-029,Wei,Zhang,wei.zhang@contractco.com,wei.zhang@contractco.com,Contract Technician,CNC Machining,Contractor,2026-03-01,Flex,Active,sylvie.raymond@caedemo.com,514-555-0129,Montreal Plant,BDG-1029,No,PL-01
EMP-050,Sylvie,Raymond,sylvie.raymond@caedemo.com,sylvie.raymond@caedemo.com,Production Line Manager,Precision Fabrication,FullTime,2012-08-15,Day,Active,marc.fortin@caedemo.com,514-555-0150,Montreal Plant,BDG-1050,No,PL-01
EMP-051,Robert,Lapointe,robert.lapointe@caedemo.com,robert.lapointe@caedemo.com,Production Line Manager,Assembly and Integration,FullTime,2011-03-20,Day,Active,marc.fortin@caedemo.com,514-555-0151,Montreal Plant,BDG-1051,No,PL-02
EMP-052,Marc,Fortin,marc.fortin@caedemo.com,marc.fortin@caedemo.com,Production Manager,Manufacturing,FullTime,2010-05-01,Day,Active,,514-555-0152,Montreal Plant,BDG-1052,No,
EMP-053,Claire,Pelletier,claire.pelletier@caedemo.com,claire.pelletier@caedemo.com,Production Line Manager,Electronics and Systems,FullTime,2013-09-01,Day,Active,marc.fortin@caedemo.com,514-555-0153,Montreal Plant,BDG-1053,No,PL-03
